impact,rank_in_disease,disease,drug,drug_inn,score,status_to_determine,biomarker_restriction,line_of_therapy,approval_year,source_url,curator_note
0.05,20,Melanoma,Mebendazole,Mebendazole,0.7149,,,,,,
0.05,20,Multiple_Myeloma,Carboplatin,Carboplatin,0.5737,,,,,,
0.05,20,Myelofibrosis,Metformin,Metformin,0.5475,,,,,,
0.05,20,NSCLC,Sotorasib,Sotorasib,0.8859,,,,,,
0.05,20,Ovarian_Cancer,Ibalizumab,Ibalizumab,0.7018,,,,,,
0.05,20,Pancreatic_Cancer,Palbociclib,Palbociclib,0.7135,,,,,,
0.05,20,Prostate_Cancer,Everolimus,Everolimus,0.6709,,,,,,
0.05,20,RCC,Mebendazole,Mebendazole,0.7624,,,,,,
0.05,20,Soft_Tissue_Sarcoma,Niclosamide,Niclosamide,0.5849,,,,,,
0.05,20,Type2_Diabetes,Nelfinavir,Nelfinavir,0.5255,,,,,,
