morphism_id,source,relation,target,evidence_tier,source_type,validation_status,citation_status,quantitative_status,pmid_count,pmids,has_context,has_full_text,source_mentioned,target_mentioned,endpoint_context_match,relation_support_heuristic,relation_context_support,quantitative_value_support,risk_flags
inhibits:Cemiplimab->PDCD1,Cemiplimab,inhibits,PDCD1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Ceritinib->ALK,Ceritinib,inhibits,ALK,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cerivastatin->HMGCR,Cerivastatin,inhibits,HMGCR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Certolizumab Pegol->TNF,Certolizumab Pegol,inhibits,TNF,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cetirizine->HRH1,Cetirizine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cetrorelix->GNRHR,Cetrorelix,inhibits,GNRHR,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Cetuximab->EGFR,Cetuximab,inhibits,EGFR,ESTABLISHED,regulatory_label,established_source,non_pmid_source,no_quantitative_value,0,,False,False,False,True,False,False,False,none,
inhibits:Chlorothiazide->SLC12A3,Chlorothiazide,inhibits,SLC12A3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorpheniramine Polistirex->HRH1,Chlorpheniramine Polistirex,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorpheniramine->HRH1,Chlorpheniramine,inhibits,HRH1,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorpromazine->HTR2A,Chlorpromazine,inhibits,HTR2A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorprothixene->DRD2,Chlorprothixene,inhibits,DRD2,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorprothixene->DRD3,Chlorprothixene,inhibits,DRD3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorprothixene->HTR2A,Chlorprothixene,inhibits,HTR2A,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorprothixene->HTR2C,Chlorprothixene,inhibits,HTR2C,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
inhibits:Chlorthalidone->SLC12A3,Chlorthalidone,inhibits,SLC12A3,MEASURED,bioactivity_database,database_record,non_pmid_source,no_quantitative_value,0,,False,False,False,False,False,False,False,none,
