drug,drug_inn,disease,mechanism_target,terminal_relation,mechanism_strength,composite_confidence,pubmed_comentions,pubmed_drug_in_cancer,novelty_class,known_cheap_generic,any_trial_or_paper_found,verdict_WORTH_READING_TRIED_WRONG,checker_note,target_zone
Brigatinib,Brigatinib,Colorectal_Cancer,EGFR,associated_with,co-occurrence,0.6,4,462,KNOWN_DRUG_NEW_CANCER,,,,,
Ceritinib,Ceritinib,Colorectal_Cancer,ALK,associated_with,co-occurrence,0.6,3,625,KNOWN_DRUG_NEW_CANCER,,,,,
Ceritinib,Ceritinib,Glioblastoma,ALK,associated_with,co-occurrence,0.6,8,625,KNOWN_DRUG_NEW_CANCER,,,,,
Ceritinib,Ceritinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.6,2,625,KNOWN_DRUG_NEW_CANCER,,,,,
Ceritinib,Ceritinib,RCC,ALK,associated_with,co-occurrence,0.6,0,625,KNOWN_DRUG_NEW_CANCER,,,,,
Ensartinib,Ensartinib,Colorectal_Cancer,ALK,associated_with,co-occurrence,0.6,2,143,KNOWN_DRUG_NEW_CANCER,,,,,
Ensartinib,Ensartinib,Glioblastoma,ALK,associated_with,co-occurrence,0.6,1,143,KNOWN_DRUG_NEW_CANCER,,,,,
Ensartinib,Ensartinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.6,0,143,KNOWN_DRUG_NEW_CANCER,,,,,
Ensartinib,Ensartinib,RCC,ALK,associated_with,co-occurrence,0.6,0,143,KNOWN_DRUG_NEW_CANCER,,,,,
Cemiplimab,Cemiplimab,Colorectal_Cancer,PDCD1,associated_with,co-occurrence,0.6,3,416,KNOWN_DRUG_NEW_CANCER,,,,,
Cemiplimab,Cemiplimab,Glioblastoma,PDCD1,associated_with,co-occurrence,0.6,0,416,KNOWN_DRUG_NEW_CANCER,,,,,
Cemiplimab,Cemiplimab,Ovarian_Cancer,PDCD1,associated_with,co-occurrence,0.6,5,416,KNOWN_DRUG_NEW_CANCER,,,,,
Cemiplimab,Cemiplimab,Pancreatic_Cancer,PDCD1,associated_with,co-occurrence,0.6,2,416,KNOWN_DRUG_NEW_CANCER,,,,,
Dostarlimab,Dostarlimab,Colorectal_Cancer,PDCD1,associated_with,co-occurrence,0.6,27,244,WELL_STUDIED_PAIR,,,,,
Dostarlimab,Dostarlimab,Glioblastoma,PDCD1,associated_with,co-occurrence,0.6,0,244,KNOWN_DRUG_NEW_CANCER,,,,,
Dostarlimab,Dostarlimab,Ovarian_Cancer,PDCD1,associated_with,co-occurrence,0.6,15,244,KNOWN_DRUG_NEW_CANCER,,,,,
Dostarlimab,Dostarlimab,Pancreatic_Cancer,PDCD1,associated_with,co-occurrence,0.6,3,244,KNOWN_DRUG_NEW_CANCER,,,,,
Disulfiram,Disulfiram,AML,ALDH2,associated_with,co-occurrence,0.6,11,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Glioblastoma,PTGS2,associated_with,co-occurrence,0.6,73,2020,WELL_STUDIED_PAIR,YES,,,,
Celecoxib,Celecoxib,CML,PTGS2,associated_with,co-occurrence,0.6,6,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Melanoma,PTGS2,associated_with,co-occurrence,0.6,73,2020,WELL_STUDIED_PAIR,YES,,,,
Nelfinavir,Nelfinavir,AML,AKT1,associated_with,co-occurrence,0.6,1,145,KNOWN_DRUG_NEW_CANCER,,,,,
Doxycycline,Doxycycline,Breast_Cancer,MMP7,associated_with,co-occurrence,0.6,197,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,Melanoma,MMP8,associated_with,co-occurrence,0.6,106,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,HCC,MMP7,associated_with,co-occurrence,0.6,45,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,Glioblastoma,MMP8,associated_with,co-occurrence,0.6,60,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,Colorectal_Cancer,MMP7,associated_with,co-occurrence,0.6,78,1065,WELL_STUDIED_PAIR,YES,,,,
Doxycycline,Doxycycline,AML,MMP7,associated_with,co-occurrence,0.6,21,1065,KNOWN_DRUG_NEW_CANCER,YES,,,,
Atorvastatin,Atorvastatin,Prostate_Cancer,HMGCR,associated_with,co-occurrence,0.6,62,566,WELL_STUDIED_PAIR,YES,,,,
Leflunomide,Leflunomide,AML,DHODH,associated_with,co-occurrence,0.6,5,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Colorectal_Cancer,DHODH,associated_with,co-occurrence,0.6,4,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,Melanoma,DHODH,associated_with,co-occurrence,0.6,21,101,KNOWN_DRUG_NEW_CANCER,,,,,
Leflunomide,Leflunomide,HCC,DHODH,associated_with,co-occurrence,0.6,5,101,KNOWN_DRUG_NEW_CANCER,,,,,
Arsenic Trioxide,Arsenic Trioxide,AML,TXNRD1,associated_with,co-occurrence,0.6,315,1041,WELL_STUDIED_PAIR,,,,,
Arsenic Trioxide,Arsenic Trioxide,NSCLC,TXNRD1,associated_with,co-occurrence,0.6,19,1041,KNOWN_DRUG_NEW_CANCER,,,,,
Disulfiram,Disulfiram,NSCLC,ALDH2,associated_with,co-occurrence,0.6,23,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Pancreatic_Cancer,ALDH2,associated_with,co-occurrence,0.6,21,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,Type2_Diabetes,ALDH2,associated_with,co-occurrence,0.6,0,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Disulfiram,Disulfiram,HCC,ALDH2,associated_with,co-occurrence,0.6,25,590,KNOWN_DRUG_NEW_CANCER,YES,,,,
Afatinib,Afatinib,Ewing_Sarcoma,ERBB4,associated_with,co-occurrence,0.6,0,2051,KNOWN_DRUG_NEW_CANCER,,,,,
Afatinib,Afatinib,Ovarian_Cancer,ERBB4,associated_with,co-occurrence,0.6,16,2051,KNOWN_DRUG_NEW_CANCER,,,,,
Dacomitinib,Dacomitinib,Ewing_Sarcoma,ERBB4,associated_with,co-occurrence,0.6,0,352,KNOWN_DRUG_NEW_CANCER,,,,,
Dacomitinib,Dacomitinib,Ovarian_Cancer,ERBB4,associated_with,co-occurrence,0.6,6,352,KNOWN_DRUG_NEW_CANCER,,,,,
Asciminib,Asciminib,Ovarian_Cancer,ABL1,associated_with,co-occurrence,0.6,0,40,UNEXPLORED_DRUG,,,,,
Bosutinib,Bosutinib,Ovarian_Cancer,ABL1,associated_with,co-occurrence,0.6,0,186,KNOWN_DRUG_NEW_CANCER,,,,,
Dasatinib Anhydrous,Dasatinib,Ovarian_Cancer,ABL1,associated_with,co-occurrence,0.6,40,1413,WELL_STUDIED_PAIR,,,,,
Cerivastatin,Cerivastatin,Breast_Cancer,HMGCR,associated_with,co-occurrence,0.6,10,35,UNEXPLORED_DRUG,,,,,
Cerivastatin,Cerivastatin,Prostate_Cancer,HMGCR,associated_with,co-occurrence,0.6,0,35,UNEXPLORED_DRUG,,,,,
Fluvastatin,Fluvastatin,Breast_Cancer,HMGCR,associated_with,co-occurrence,0.6,51,183,WELL_STUDIED_PAIR,,,,,
Fluvastatin,Fluvastatin,Prostate_Cancer,HMGCR,associated_with,co-occurrence,0.6,13,183,KNOWN_DRUG_NEW_CANCER,,,,,
Carprofen,Carprofen,CML,PTGS2,associated_with,co-occurrence,0.6,0,14,UNEXPLORED_DRUG,,,,,
Carprofen,Carprofen,Melanoma,PTGS2,associated_with,co-occurrence,0.6,2,14,UNEXPLORED_DRUG,,,,,
Carprofen,Carprofen,Glioblastoma,PTGS2,associated_with,co-occurrence,0.6,0,14,UNEXPLORED_DRUG,,,,,
Etodolac,Etodolac,CML,PTGS2,associated_with,co-occurrence,0.6,1,87,KNOWN_DRUG_NEW_CANCER,,,,,
Etodolac,Etodolac,Melanoma,PTGS2,associated_with,co-occurrence,0.6,6,87,KNOWN_DRUG_NEW_CANCER,,,,,
Etodolac,Etodolac,Glioblastoma,PTGS2,associated_with,co-occurrence,0.6,1,87,KNOWN_DRUG_NEW_CANCER,,,,,
Etoricoxib,Etoricoxib,CML,PTGS2,associated_with,co-occurrence,0.6,0,60,KNOWN_DRUG_NEW_CANCER,,,,,
Etoricoxib,Etoricoxib,Melanoma,PTGS2,associated_with,co-occurrence,0.6,3,60,KNOWN_DRUG_NEW_CANCER,,,,,
Etoricoxib,Etoricoxib,Glioblastoma,PTGS2,associated_with,co-occurrence,0.6,1,60,KNOWN_DRUG_NEW_CANCER,,,,,
Crizotinib,Crizotinib,Melanoma,MST1R,associated_with,co-occurrence,0.6,45,2817,WELL_STUDIED_PAIR,,,,,
Crizotinib,Crizotinib,Pancreatic_Cancer,MST1R,associated_with,co-occurrence,0.6,19,2817,KNOWN_DRUG_NEW_CANCER,,,,,
Crizotinib,Crizotinib,Prostate_Cancer,MST1R,associated_with,co-occurrence,0.6,18,2817,KNOWN_DRUG_NEW_CANCER,,,,,
Doxycycline,Doxycycline,GIST,MMP7,associated_with,co-occurrence,0.6,6,1065,KNOWN_DRUG_NEW_CANCER,YES,,,,
Doxycycline,Doxycycline,Pancreatic_Cancer,MMP7,associated_with,co-occurrence,0.6,39,1065,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,Breast_Cancer,Multiple_Myeloma,associated_with,co-occurrence,0.598,62,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,CLL,Multiple_Myeloma,associated_with,co-occurrence,0.598,25,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Colorectal_Cancer,Multiple_Myeloma,associated_with,co-occurrence,0.598,31,1054,WELL_STUDIED_PAIR,YES,,,,
Thalidomide,Thalidomide,Ewing_Sarcoma,Multiple_Myeloma,associated_with,co-occurrence,0.598,1,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,GIST,Multiple_Myeloma,associated_with,co-occurrence,0.598,2,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Ovarian_Cancer,Multiple_Myeloma,associated_with,co-occurrence,0.598,20,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Thalidomide,Thalidomide,Pancreatic_Cancer,Multiple_Myeloma,associated_with,co-occurrence,0.598,23,1054,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Ovarian_Cancer,TP53,associated_with,co-occurrence,0.598,6,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Indomethacin,Indomethacin,HCC,COX2,associated_with,co-occurrence,0.598,15,1119,KNOWN_DRUG_NEW_CANCER,,,,,
Valproic_Acid,Valproic_Acid,Colorectal_Cancer,HDAC2,associated_with,co-occurrence,0.5976,32,824,WELL_STUDIED_PAIR,YES,,,,
Sorafenib,Sorafenib,NSCLC,BRAF,associated_with,co-occurrence,0.595,166,6418,WELL_STUDIED_PAIR,,,,,
Valproic_Acid,Valproic_Acid,Breast_Cancer,HDAC1,associated_with,co-occurrence,0.595,111,824,WELL_STUDIED_PAIR,YES,,,,
Pembrolizumab,Pembrolizumab,Colorectal_Cancer,PDCD1,associated_with,co-occurrence,0.594,423,8884,WELL_STUDIED_PAIR,,,,,
Nivolumab,Nivolumab,Colorectal_Cancer,PDCD1,associated_with,co-occurrence,0.594,289,7463,WELL_STUDIED_PAIR,,,,,
Lorlatinib,Lorlatinib,Colorectal_Cancer,ALK,associated_with,co-occurrence,0.594,5,650,KNOWN_DRUG_NEW_CANCER,,,,,
Lorlatinib,Lorlatinib,Glioblastoma,ALK,associated_with,co-occurrence,0.594,4,650,KNOWN_DRUG_NEW_CANCER,,,,,
Lorlatinib,Lorlatinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.594,1,650,KNOWN_DRUG_NEW_CANCER,,,,,
Lorlatinib,Lorlatinib,RCC,ALK,associated_with,co-occurrence,0.594,0,650,KNOWN_DRUG_NEW_CANCER,,,,,
Nivolumab,Nivolumab,Pancreatic_Cancer,PDCD1,associated_with,co-occurrence,0.594,58,7463,WELL_STUDIED_PAIR,,,,,
Pembrolizumab,Pembrolizumab,Pancreatic_Cancer,PDCD1,associated_with,co-occurrence,0.594,103,8884,WELL_STUDIED_PAIR,,,,,
Pralsetinib,Pralsetinib,AML,RET,associated_with,co-occurrence,0.594,0,255,KNOWN_DRUG_NEW_CANCER,,,,,
Pralsetinib,Pralsetinib,Breast_Cancer,RET,associated_with,co-occurrence,0.594,12,255,KNOWN_DRUG_NEW_CANCER,,,,,
Pralsetinib,Pralsetinib,Melanoma,RET,associated_with,co-occurrence,0.594,3,255,KNOWN_DRUG_NEW_CANCER,,,,,
Pralsetinib,Pralsetinib,Prostate_Cancer,RET,associated_with,co-occurrence,0.594,0,255,KNOWN_DRUG_NEW_CANCER,,,,,
Selpercatinib,Selpercatinib,AML,RET,associated_with,co-occurrence,0.594,0,420,KNOWN_DRUG_NEW_CANCER,,,,,
Selpercatinib,Selpercatinib,Breast_Cancer,RET,associated_with,co-occurrence,0.594,15,420,KNOWN_DRUG_NEW_CANCER,,,,,
Selpercatinib,Selpercatinib,Melanoma,RET,associated_with,co-occurrence,0.594,3,420,KNOWN_DRUG_NEW_CANCER,,,,,
Selpercatinib,Selpercatinib,Prostate_Cancer,RET,associated_with,co-occurrence,0.594,1,420,KNOWN_DRUG_NEW_CANCER,,,,,
Atezolizumab,Atezolizumab,AML,CD274,associated_with,co-occurrence,0.588,4,3302,KNOWN_DRUG_NEW_CANCER,,,,,
Atezolizumab,Atezolizumab,RCC,CD274,associated_with,co-occurrence,0.588,70,3302,WELL_STUDIED_PAIR,,,,,
Durvalumab,Durvalumab,AML,CD274,associated_with,co-occurrence,0.588,6,2295,KNOWN_DRUG_NEW_CANCER,,,,,
Durvalumab,Durvalumab,RCC,CD274,associated_with,co-occurrence,0.588,14,2295,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,Glioblastoma,ALK,associated_with,co-occurrence,0.588,9,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.588,4,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Alectinib,Alectinib,RCC,ALK,associated_with,co-occurrence,0.588,3,1179,KNOWN_DRUG_NEW_CANCER,,,,,
Brigatinib,Brigatinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.588,2,462,KNOWN_DRUG_NEW_CANCER,,,,,
Brigatinib,Brigatinib,RCC,ALK,associated_with,co-occurrence,0.588,0,462,KNOWN_DRUG_NEW_CANCER,,,,,
Ipilimumab,Ipilimumab,AML,CTLA4,associated_with,co-occurrence,0.588,15,3000,KNOWN_DRUG_NEW_CANCER,,,,,
Ipilimumab,Ipilimumab,Multiple_Myeloma,CTLA4,associated_with,co-occurrence,0.588,11,3000,KNOWN_DRUG_NEW_CANCER,,,,,
Ipilimumab,Ipilimumab,NSCLC,CTLA4,associated_with,co-occurrence,0.588,357,3000,WELL_STUDIED_PAIR,,,,,
Trastuzumab,Trastuzumab,Colorectal_Cancer,ERBB2,associated_with,co-occurrence,0.588,248,13870,WELL_STUDIED_PAIR,,,,,
Trastuzumab_deruxtecan,Trastuzumab_deruxtecan,Colorectal_Cancer,ERBB2,associated_with,co-occurrence,0.588,54,1380,WELL_STUDIED_PAIR,,,,,
Larotrectinib,Larotrectinib,Glioblastoma,NTRK1,associated_with,co-occurrence,0.588,16,294,KNOWN_DRUG_NEW_CANCER,,,,,
Larotrectinib,Larotrectinib,Pancreatic_Cancer,NTRK1,associated_with,co-occurrence,0.588,10,294,KNOWN_DRUG_NEW_CANCER,,,,,
Larotrectinib,Larotrectinib,Prostate_Cancer,NTRK1,associated_with,co-occurrence,0.588,5,294,KNOWN_DRUG_NEW_CANCER,,,,,
Larotrectinib,Larotrectinib,Breast_Cancer,NTRK1,associated_with,co-occurrence,0.588,21,294,KNOWN_DRUG_NEW_CANCER,,,,,
Larotrectinib,Larotrectinib,Soft_Tissue_Sarcoma,NTRK1,associated_with,co-occurrence,0.588,27,294,WELL_STUDIED_PAIR,,,,,
Larotrectinib,Larotrectinib,GIST,NTRK2,associated_with,co-occurrence,0.588,6,294,KNOWN_DRUG_NEW_CANCER,,,,,
Larotrectinib,Larotrectinib,HCC,NTRK2,associated_with,co-occurrence,0.588,2,294,KNOWN_DRUG_NEW_CANCER,,,,,
Binimetinib,Binimetinib,HCC,MAP2K1,associated_with,co-occurrence,0.588,0,233,KNOWN_DRUG_NEW_CANCER,,,,,
Binimetinib,Binimetinib,NSCLC,MAP2K1,associated_with,co-occurrence,0.588,28,233,WELL_STUDIED_PAIR,,,,,
Cobimetinib,Cobimetinib,HCC,MAP2K1,associated_with,co-occurrence,0.588,2,169,KNOWN_DRUG_NEW_CANCER,,,,,
Cobimetinib,Cobimetinib,NSCLC,MAP2K1,associated_with,co-occurrence,0.588,8,169,KNOWN_DRUG_NEW_CANCER,,,,,
Mebendazole,Mebendazole,NSCLC,TP53,associated_with,co-occurrence,0.585,4,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Entrectinib,Entrectinib,Breast_Cancer,ALK,associated_with,co-occurrence,0.585,14,390,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,HCC,ALK,associated_with,co-occurrence,0.585,2,390,KNOWN_DRUG_NEW_CANCER,,,,,
Sorafenib,Sorafenib,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.585,37,6418,WELL_STUDIED_PAIR,,,,,
Metformin,Metformin,NSCLC,AMPK,associated_with,co-occurrence,0.585,176,5396,WELL_STUDIED_PAIR,YES,,,,
Metformin,Metformin,HCC,AMPK,associated_with,co-occurrence,0.585,295,5396,WELL_STUDIED_PAIR,YES,,,,
Entrectinib,Entrectinib,Glioblastoma,ROS1,associated_with,co-occurrence,0.582,17,390,KNOWN_DRUG_NEW_CANCER,,,,,
Celecoxib,Celecoxib,Ovarian_Cancer,COX2,associated_with,co-occurrence,0.582,36,2020,WELL_STUDIED_PAIR,YES,,,,
Celecoxib,Celecoxib,CLL,COX2,associated_with,co-occurrence,0.582,2,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,AML,COX2,associated_with,co-occurrence,0.582,7,2020,KNOWN_DRUG_NEW_CANCER,YES,,,,
Celecoxib,Celecoxib,Breast_Cancer,COX2,associated_with,co-occurrence,0.582,293,2020,WELL_STUDIED_PAIR,YES,,,,
Irinotecan,Irinotecan,Pancreatic_Cancer,TOP1,associated_with,co-occurrence,0.576,958,9311,WELL_STUDIED_PAIR,,,,,
Irinotecan,Irinotecan,AML,TOP1,associated_with,co-occurrence,0.576,10,9311,KNOWN_DRUG_NEW_CANCER,,,,,
Atorvastatin,Atorvastatin,AML,KRAS,associated_with,co-occurrence,0.576,32,566,WELL_STUDIED_PAIR,YES,,,,
Crizotinib,Crizotinib,Colorectal_Cancer,ALK,associated_with,co-occurrence,0.576,41,2817,WELL_STUDIED_PAIR,,,,,
Crizotinib,Crizotinib,Glioblastoma,ALK,associated_with,co-occurrence,0.576,42,2817,WELL_STUDIED_PAIR,,,,,
Crizotinib,Crizotinib,Ovarian_Cancer,ALK,associated_with,co-occurrence,0.576,19,2817,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,Pancreatic_Cancer,NTRK1,associated_with,co-occurrence,0.576,9,390,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,Prostate_Cancer,NTRK1,associated_with,co-occurrence,0.576,4,390,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,Soft_Tissue_Sarcoma,NTRK1,associated_with,co-occurrence,0.576,11,390,KNOWN_DRUG_NEW_CANCER,,,,,
Entrectinib,Entrectinib,GIST,NTRK2,associated_with,co-occurrence,0.576,6,390,KNOWN_DRUG_NEW_CANCER,,,,,
Itraconazole,Itraconazole,GIST,VEGFR2,associated_with,co-occurrence,0.576,0,509,KNOWN_DRUG_NEW_CANCER,YES,,,,
Mebendazole,Mebendazole,Colorectal_Cancer,VEGFR2,associated_with,co-occurrence,0.574,13,149,KNOWN_DRUG_NEW_CANCER,YES,,,,
Bevacizumab,Bevacizumab,Soft_Tissue_Sarcoma,VEGFR2,associated_with,co-occurrence,0.572,35,11890,WELL_STUDIED_PAIR,,,,,
Verapamil,Verapamil,CML,ABCB1,associated_with,co-occurrence,0.572,14,1417,KNOWN_DRUG_NEW_CANCER,YES,,,,
Verapamil,Verapamil,GIST,ABCB1,associated_with,co-occurrence,0.572,0,1417,KNOWN_DRUG_NEW_CANCER,YES,,,,
Verapamil,Verapamil,RCC,ABCB1,associated_with,co-occurrence,0.572,10,1417,KNOWN_DRUG_NEW_CANCER,YES,,,,
Trastuzumab_deruxtecan,Trastuzumab_deruxtecan,Pancreatic_Cancer,TOP1,associated_with,co-occurrence,0.57,6,1380,KNOWN_DRUG_NEW_CANCER,,,,,
Trastuzumab_deruxtecan,Trastuzumab_deruxtecan,AML,TOP1,associated_with,co-occurrence,0.57,0,1380,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,AML,TYMS,associated_with,co-occurrence,0.57,3,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,HCC,TYMS,associated_with,co-occurrence,0.57,8,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,Melanoma,TYMS,associated_with,co-occurrence,0.57,19,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,Prostate_Cancer,TYMS,associated_with,co-occurrence,0.57,14,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,RCC,TYMS,associated_with,co-occurrence,0.57,4,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,CLL,TYMS,associated_with,co-occurrence,0.57,2,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,Glioblastoma,TYMS,associated_with,co-occurrence,0.57,13,3498,KNOWN_DRUG_NEW_CANCER,,,,,
Pemetrexed,Pemetrexed,Ovarian_Cancer,TYMS,associated_with,co-occurrence,0.57,53,3498,WELL_STUDIED_PAIR,,,,,
Aspirin,Aspirin,AML,COX2,associated_with,co-occurrence,0.57,17,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Breast_Cancer,COX2,associated_with,co-occurrence,0.57,458,4583,WELL_STUDIED_PAIR,YES,,,,
Aspirin,Aspirin,CLL,COX2,associated_with,co-occurrence,0.57,16,4583,KNOWN_DRUG_NEW_CANCER,YES,,,,
Aspirin,Aspirin,Ovarian_Cancer,COX2,associated_with,co-occurrence,0.57,156,4583,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,Ovarian_Cancer,TYMS,associated_with,co-occurrence,0.558,282,29336,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,RCC,TYMS,associated_with,co-occurrence,0.558,94,29336,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,HCC,TYMS,associated_with,co-occurrence,0.558,820,29336,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,Melanoma,TYMS,associated_with,co-occurrence,0.558,474,29336,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,Prostate_Cancer,TYMS,associated_with,co-occurrence,0.558,229,29336,WELL_STUDIED_PAIR,YES,,,,
Fluorouracil,Fluorouracil,CLL,TYMS,associated_with,co-occurrence,0.558,7,29336,KNOWN_DRUG_NEW_CANCER,YES,,,,
Fluorouracil,Fluorouracil,Glioblastoma,TYMS,associated_with,co-occurrence,0.558,113,29336,WELL_STUDIED_PAIR,YES,,,,
Diclofenac,Diclofenac,Ovarian_Cancer,COX2,associated_with,co-occurrence,0.558,5,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,CLL,COX2,associated_with,co-occurrence,0.558,0,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,AML,COX2,associated_with,co-occurrence,0.558,3,463,KNOWN_DRUG_NEW_CANCER,,,,,
Diclofenac,Diclofenac,Breast_Cancer,COX2,associated_with,co-occurrence,0.558,73,463,WELL_STUDIED_PAIR,,,,,
Indomethacin,Indomethacin,AML,COX2,associated_with,co-occurrence,0.552,12,1119,KNOWN_DRUG_NEW_CANCER,,,,,
Indomethacin,Indomethacin,Breast_Cancer,COX2,associated_with,co-occurrence,0.552,155,1119,WELL_STUDIED_PAIR,,,,,
Indomethacin,Indomethacin,CLL,COX2,associated_with,co-occurrence,0.552,7,1119,KNOWN_DRUG_NEW_CANCER,,,,,
Indomethacin,Indomethacin,Ovarian_Cancer,COX2,associated_with,co-occurrence,0.552,12,1119,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Pancreatic_Cancer,CDK4,associated_with,co-occurrence,0.55,8,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Ovarian_Cancer,CDK4,associated_with,co-occurrence,0.55,7,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Myelofibrosis,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Type2_Diabetes,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Glioblastoma,CDK4,associated_with,co-occurrence,0.55,31,1262,WELL_STUDIED_PAIR,,,,,
Abemaciclib,Abemaciclib,Li_Fraumeni_Syndrome,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,CML,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Prostate_Cancer,CDK4,associated_with,co-occurrence,0.55,7,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,CLL,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Colorectal_Cancer,CDK4,associated_with,co-occurrence,0.55,14,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,RCC,CDK4,associated_with,co-occurrence,0.55,2,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,AML,CDK4,associated_with,co-occurrence,0.55,8,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,GIST,CDK4,associated_with,co-occurrence,0.55,0,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,NSCLC,CDK4,associated_with,co-occurrence,0.55,16,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Melanoma,CDK4,associated_with,co-occurrence,0.55,24,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,Ewing_Sarcoma,CDK4,associated_with,co-occurrence,0.55,1,1262,KNOWN_DRUG_NEW_CANCER,,,,,
Abemaciclib,Abemaciclib,HCC,CDK4,associated_with,co-occurrence,0.55,7,1262,KNOWN_DRUG_NEW_CANCER,,,,,
